source,target,relationship_type,method,confidence,evidence
08/2021/TT-BTC,05/2019/NĐ-CP,THAM_CHIEU,rule_based,0.9,tắc đạo đức nghề nghiệp kiểm toán nội bộ ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức n
22/2023/TT-NHNN,41/2016/TT-NHNN,SUA_DOI_BO_SUNG,rule_based,0.9,"GHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 22/2023/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn "
41/2016/TT-NHNN,22/2023/TT-NHNN,THAY_THE_BOI,rule_based,0.9,"à nước trong việc chấp hành quy định tại Thông tư này."" Điều 2. Thay thế Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 của Thông tư số 41/2016/TT-NHNN bằng Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 ban hành kèm theo Thông tư này. Điều 3. Trách nhiệm tổ chức thực hiện Chánh Văn phò"
69/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule_based,0.9,"ảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ "
69/2025/TT-NHNN,62/2024/TT-NHNN,SUA_DOI_BO_SUNG,rule_based,0.9,"hụ lục ban hành kèm theo Thông tư 53/2018/TT-NHNN bằng Phụ lục ban hành kèm theo Thông tư này. Chương IV SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 62/2024/TT-NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ ĐIỀU KIỆN, HỒ SƠ, THỦ TỤC CHẤP THUẬN VIỆC TỔ CHỨC LẠI NGÂN HÀNG THƯƠNG MẠI, TỔ CHỨC TÍN DỤNG PH"
69/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule_based,0.9,"c quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy"
105/2016/TT-BTC,135/2015/NĐ-CP,THAM_CHIEU,rule_based,0.9,"15/2013/NĐ-CP ngày 23 tháng 12 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 135/2015/NĐ-CP ngày 31 tháng 12 năm 2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài; Theo đề nghị của Chủ tịch Ủy ban Chứng khoán Nhà nước, Cục trưởng"
62/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule_based,0.9," tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ "
44/2011/TT-NHNN,62/2025/TT-NHNN,THAY_THE_BOI,rule_based,0.9,"hương V ĐIỀU KHOẢN THI HÀNH Điều 56. Điều khoản thi hành 1. Thông tư này có hiệu lực từ ngày 01 tháng 01 năm 2027. 2. Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, c"
62/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule_based,0.9,"THÔNG TƯ Quy định về hệ thống kiểm soát nội bộ của tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy"
52/VBHN-NHNN,56/2024/TT-NHNN,THAM_CHIEU,rule_based,0.9," TƯ Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh"
63/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule_based,0.9,"một số điều của một số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức"
63/2025/TT-NHNN,29/2024/TT-NHNN,SUA_DOI_BO_SUNG,rule_based,0.9,"am ban hành Thông tư sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân. Chương I SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN Điều 1. Sửa đổi, bổ sung điểm d khoản 2 Điều 25 “d) Định kỳ hằng quý, nộp lại sổ tiết kiệm trắng không sử dụng được"
63/2025/TT-NHNN,29/2024/TT-NHNN,THAM_CHIEU,rule_based,0.9,"à nước Việt Nam quy định về tổ chức và hoạt động của phòng giao dịch bưu điện trực thuộc Ngân hàng thương mại cổ phần Bưu điện Liên Việt, Thông tư số 29/2024/TT-NHNN ngày 28 tháng 6 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về quỹ tín dụng nhân dân và Thông tư số 32/2024/TT-NHNN ngày 30 tháng 6 n"
63/2025/TT-NHNN,17/2023/QH15,THAM_CHIEU,rule_based,0.9," Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; Theo đề n"
63/2025/TT-NHNN,01/2025/TT-NHNN,SUA_DOI_BO_SUNG,rule_based,0.9,"Nhà nước chi nhánh phê duyệt tiếp tục thực hiện việc xử lý theo phương án đã được phê duyệt.”. Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 01/2025/TT-NHNN QUY ĐỊNH VỀ CẤP GIẤY PHÉP LẦN ĐẦU, CẤP ĐỔI GIẤY PHÉP CỦA QUỸ TÍN DỤNG NHÂN DÂN Điều 3. Sửa đổi, bổ sung Điều 5 1. Sửa đổi tên Điều 5 như sau: “ Điều "
63/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule_based,0.9,"ày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị"
41/2016/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule_based,0.9,"30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng"
01/2014/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule_based,0.9,"áng 01 năm 2014 THÔNG TƯ Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng"
32/2024/QH15,QUỐC HỘI,BAN_HANH_BOI,gemini,0.9,
32/2024/QH15,Tổ chức tín dụng,AP_DUNG_CHO,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,Chi nhánh ngân hàng nước ngoài,AP_DUNG_CHO,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,Tổ chức nước ngoài khác có hoạt động ngân hàng,AP_DUNG_CHO,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",AP_DUNG_CHO,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,"Cơ quan, tổ chức, cá nhân có liên quan",AP_DUNG_CHO,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,Tín dụng,THUOC_LINH_VUC,gemini,0.9,
32/2024/QH15,Ngân hàng,THUOC_LINH_VUC,gemini,0.9,
73/2016/NĐ-CP,Chính phủ,BAN_HANH_BOI,gemini,0.9,
73/2016/NĐ-CP,Doanh nghiệp bảo hiểm,AP_DUNG_CHO,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
73/2016/NĐ-CP,Chi nhánh nước ngoài,AP_DUNG_CHO,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
73/2016/NĐ-CP,"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",AP_DUNG_CHO,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
73/2016/NĐ-CP,"Các tổ chức, cá nhân khác có liên quan",AP_DUNG_CHO,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
73/2016/NĐ-CP,Bảo hiểm,THUOC_LINH_VUC,gemini,0.9,
73/2016/NĐ-CP,Kinh doanh bảo hiểm,THUOC_LINH_VUC,gemini,0.9,
37/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,gemini,0.9,
37/2014/TT-NHNN,Cục Phát hành và Kho quỹ,BAN_HANH_BOI,gemini,0.9,
37/2014/TT-NHNN,Nhà máy in tiền Quốc gia,BAN_HANH_BOI,gemini,0.9,
37/2014/TT-NHNN,Thống đốc Ngân hàng Nhà nước Việt Nam,KY_BOI,gemini,0.9,
37/2014/TT-NHNN,Thống đốc,KY_BOI,gemini,0.9,
37/2014/TT-NHNN,Thủ tướng Chính phủ,KY_BOI,gemini,0.9,
37/2014/TT-NHNN,Cục trưởng Cục Phát hành và Kho quỹ,KY_BOI,gemini,0.9,
37/2014/TT-NHNN,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.,AP_DUNG_CHO,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
37/2014/TT-NHNN,Nhà máy in tiền Quốc gia.,AP_DUNG_CHO,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
37/2014/TT-NHNN,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền.",AP_DUNG_CHO,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
37/2014/TT-NHNN,Phát hành tiền,THUOC_LINH_VUC,gemini,0.9,
67/2011/QH12,Kiểm toán viên,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Kiểm toán viên hành nghề,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Doanh nghiệp kiểm toán,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Đơn vị được kiểm toán,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Tổ chức nghề nghiệp về kiểm toán,AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,"Tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",AP_DUNG_CHO,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Kiểm toán,THUOC_LINH_VUC,gemini,0.9,
67/2011/QH12,Tài chính,THUOC_LINH_VUC,gemini,0.9,
46/2023/NĐ-CP,Doanh nghiệp bảo hiểm phi nhân thọ,AP_DUNG_CHO,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
46/2023/NĐ-CP,Doanh nghiệp bảo hiểm nhân thọ,AP_DUNG_CHO,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
46/2023/NĐ-CP,Doanh nghiệp bảo hiểm sức khỏe,AP_DUNG_CHO,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
46/2023/NĐ-CP,Doanh nghiệp tái bảo hiểm,AP_DUNG_CHO,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
