entity,entity_type,source_doc_id,method,confidence,evidence
Cục trưởng Cục Phát hành và Kho quỹ,NguoiKy,38128,gemini,0.9,
Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.,DoiTuongApDung,38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
Nhà máy in tiền Quốc gia.,DoiTuongApDung,38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền.",DoiTuongApDung,38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
Ngân hàng,LinhVuc,38128,gemini,0.9,
Phát hành tiền,LinhVuc,38128,gemini,0.9,
Quốc hội,CoQuan,26750,gemini,0.9,
kiểm toán viên,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
kiểm toán viên hành nghề,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
doanh nghiệp kiểm toán,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
đơn vị được kiểm toán,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
tổ chức nghề nghiệp về kiểm toán,DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
Kiểm toán,LinhVuc,26750,gemini,0.9,
Tài chính,LinhVuc,26750,gemini,0.9,
Chính phủ,CoQuan,163441,gemini,0.9,
Doanh nghiệp bảo hiểm phi nhân thọ,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
doanh nghiệp bảo hiểm nhân thọ,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
doanh nghiệp bảo hiểm sức khỏe,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
doanh nghiệp tái bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
đại lý bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
"tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
tổ chức tương hỗ cung cấp bảo hiểm vi mô,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
Bên mua bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
người được bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
người thụ hưởng,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,DoiTuongApDung,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
Bảo hiểm,LinhVuc,163441,gemini,0.9,
Kinh doanh bảo hiểm,LinhVuc,163441,gemini,0.9,
CHÍNH PHỦ,CoQuan,146468,gemini,0.9,
"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,146468,gemini,0.85,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
Chính trị - Xã hội,LinhVuc,146468,gemini,0.9,
Chứng khoán,LinhVuc,146468,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,168220,gemini,0.9,
Ngân hàng hợp tác xã,DoiTuongApDung,168220,gemini,0.85,"1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
Quỹ tín dụng nhân dân,DoiTuongApDung,168220,gemini,0.85,"1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,168220,gemini,0.85,"1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
Ngân hàng,LinhVuc,168220,gemini,0.9,
Tín dụng,LinhVuc,168220,gemini,0.9,
CHÍNH PHỦ,CoQuan,133858,gemini,0.9,
"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,133858,gemini,0.85,"Đối tượng áp dụng Nghị định này bao gồm: Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; Các đơn vị sự nghiệp công lập; Các doanh nghiệp; Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
