entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ent_28,DoiTuongApDung,Kiểm toán viên hành nghề,kiểm toán viên hành nghề,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_29,DoiTuongApDung,Doanh nghiệp kiểm toán,doanh nghiệp kiểm toán,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_30,DoiTuongApDung,Chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_31,DoiTuongApDung,Đơn vị được kiểm toán,đơn vị được kiểm toán,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_32,DoiTuongApDung,Tổ chức nghề nghiệp về kiểm toán,tổ chức nghề nghiệp về kiểm toán,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_33,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập","tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ent_34,LinhVuc,Kiểm toán,Kiểm toán,26750,gemini,0.9,
ent_35,LinhVuc,Tài chính,Tài chính,26750,gemini,0.9,
ent_36,DoiTuongApDung,Doanh nghiệp bảo hiểm phi nhân thọ,Doanh nghiệp bảo hiểm phi nhân thọ,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_37,DoiTuongApDung,Doanh nghiệp bảo hiểm nhân thọ,doanh nghiệp bảo hiểm nhân thọ,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_38,DoiTuongApDung,Doanh nghiệp bảo hiểm sức khỏe,doanh nghiệp bảo hiểm sức khỏe,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_39,DoiTuongApDung,Doanh nghiệp tái bảo hiểm,doanh nghiệp tái bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_40,DoiTuongApDung,Đại lý bảo hiểm,đại lý bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_41,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,doanh nghiệp môi giới bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_42,DoiTuongApDung,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm","tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_43,DoiTuongApDung,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,tổ chức tương hỗ cung cấp bảo hiểm vi mô,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_44,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_45,DoiTuongApDung,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_46,DoiTuongApDung,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam","Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_47,DoiTuongApDung,Bên mua bảo hiểm,Bên mua bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_48,DoiTuongApDung,Người được bảo hiểm,người được bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_49,DoiTuongApDung,Người thụ hưởng,người thụ hưởng,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
ent_50,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,gemini,0.85,"Nghị định này quy định chi tiết thi hành khoản 2 Điều 6, khoản 2 Điều 7, khoản 5 Điều 11, điểm b khoản 1 Điều 64, điểm a khoản 2 Điều 64, khoản 3 Điều 65, điểm đ khoản 1 Điều 67, điểm a khoản 2 Điều 67, khoản 6 Điều 69, khoản 4 Điều 71, khoản 4 Điều 74, khoản 2 Điều 77, khoản 5 Điều 81, khoản 4 Điều 83, khoản 5 Điều 87, khoản 1 Điều 89, khoản 3 Điều 93, khoản 6 Điều 94, khoản 4 Điều 97, khoản 2 Điều 98, điểm b khoản 1 và khoản 5 Điều 99, khoản 5 Điều 100, khoản 3 Điều 101, khoản 2 Điều 102, khoản 3 Điều 115, điểm d khoản 2 Điều 125, điểm b khoản 1 và điểm a khoản 2 Điều 133, khoản 2 Điều 134, khoản 4 Điều 136, khoản 1 và khoản 3 Điều 138, khoản 3 Điều 143, khoản 1 Điều 152, khoản 3 Điều 156, điểm b khoản 5 Điều 157 Luật Kinh doanh bảo hiểm."
